"lon";"lat";"species";"datasetKey";"reference";"ID";"sst_mean";"sst_range";"ph_mean";"dissolved_oxygen";"bathymetry_mean";"cell";"sp"
-81.313769;24.725839;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";33;26.8761859472264;11.1539184204168;8.05490692797574;205.665646978205;-0.666666686534882;2193680;1
-80.32963;25.197508;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";34;26.8269940718303;10.6894959053837;8.06034480026122;205.422422061731;-3.22222232818604;2145091;1
-82.836806;24.725769;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";35;26.4889359052133;11.1660176337753;8.06111621337499;207.878964817711;-19.2222213745117;2193650;1
-80.805206;29.101409;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";37;24.4394556289745;12.4637568598136;8.08258819869764;213.047704247929;-19.25;1718402;1
-80.486506;25.077582;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";38;26.8006835345852;10.6161204956338;8.0568249771405;205.158887536727;-0.277777791023254;2155890;1
-87.184727;20.516408;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";40;27.7969743001805;3.98425063271;8.04833860253647;202.608527877407;-61.1666679382324;2647247;1
-81.494345;19.240636;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";41;28.2466307198025;4.82879586797167;8.0522392220477;201.706829599958;-1361.83337402344;2787787;1
-80.524493;24.945559;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";42;26.9958739040095;8.57579900209073;8.05625955328803;205.13423732895;-8.5;2172092;1
-80.357395;25.011289;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";43;26.9110348394213;8.73921868989472;8.05726593820571;205.128601895776;-10.8055553436279;2161293;1
-80.243537;25.172404;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";47;26.910036569178;8.78804730420408;8.0607457936041;205.430111078135;-29.8888893127441;2145093;1
-82.286279;26.848793;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";48;25.3996078971445;16.058886596681;8.05645593533296;213.446184396178;-0.222222223877907;1966819;1
-80.020793;26.782452;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";49;26.9197795632328;8.34037238845147;8.05636812575341;205.608538171216;-10;1972265;1
-83.167957;27.947445;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";51;24.4410395176353;16.6166354927755;8.06030990534453;217.371547961672;-21.0555553436279;1847979;1
-82.629714;27.595657;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";52;24.8168548523873;17.3152020410063;8.05569660482391;215.745268879877;-1.55555558204651;1885797;1
-80.773316;24.937988;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";53;26.9474907786427;10.6711846383623;8.05312345857684;205.31398578607;-1.72222220897675;2172087;1
