"dataset_id";"title";"summary"
"chl_ssp119_2020_2100_depthsurf";"Bio-Oracle Chlorophyll [depthSurf] SSP119 2020-2100.";"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
chl_max (Maximum Chlorophyll, mg m-3)
chl_ltmax (Long-term maximum Chlorophyll, mg m-3)
chl_mean (Average Chlorophyll, mg m-3)
chl_ltmin (Long-term minimum Chlorophyll, mg m-3)
chl_min (Minimum Chlorophyll, mg m-3)
chl_range (Range Chlorophyll, mg m-3)
chl_sd (Standard deviation Chlorophyll, mg m-3)
"
"chl_ssp126_2020_2100_depthsurf";"Bio-Oracle Chlorophyll [depthSurf] SSP126 2020-2100.";"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
chl_max (Maximum Chlorophyll, mg m-3)
chl_ltmax (Long-term maximum Chlorophyll, mg m-3)
chl_mean (Average Chlorophyll, mg m-3)
chl_ltmin (Long-term minimum Chlorophyll, mg m-3)
chl_min (Minimum Chlorophyll, mg m-3)
chl_range (Range Chlorophyll, mg m-3)
chl_sd (Standard deviation Chlorophyll, mg m-3)
"
"chl_ssp245_2020_2100_depthsurf";"Bio-Oracle Chlorophyll [depthSurf] SSP245 2020-2100.";"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
chl_max (Maximum Chlorophyll, mg m-3)
chl_ltmax (Long-term maximum Chlorophyll, mg m-3)
chl_mean (Average Chlorophyll, mg m-3)
chl_ltmin (Long-term minimum Chlorophyll, mg m-3)
chl_min (Minimum Chlorophyll, mg m-3)
chl_range (Range Chlorophyll, mg m-3)
chl_sd (Standard deviation Chlorophyll, mg m-3)
"
"chl_ssp370_2020_2100_depthsurf";"Bio-Oracle Chlorophyll [depthSurf] SSP370 2020-2100.";"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
chl_max (Maximum Chlorophyll, mg m-3)
chl_ltmax (Long-term maximum Chlorophyll, mg m-3)
chl_mean (Average Chlorophyll, mg m-3)
chl_ltmin (Long-term minimum Chlorophyll, mg m-3)
chl_min (Minimum Chlorophyll, mg m-3)
chl_range (Range Chlorophyll, mg m-3)
chl_sd (Standard deviation Chlorophyll, mg m-3)
"
"chl_ssp460_2020_2100_depthsurf";"Bio-Oracle Chlorophyll [depthSurf] SSP460 2020-2100.";"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
chl_max (Maximum Chlorophyll, mg m-3)
chl_ltmax (Long-term maximum Chlorophyll, mg m-3)
chl_mean (Average Chlorophyll, mg m-3)
chl_ltmin (Long-term minimum Chlorophyll, mg m-3)
chl_min (Minimum Chlorophyll, mg m-3)
chl_range (Range Chlorophyll, mg m-3)
chl_sd (Standard deviation Chlorophyll, mg m-3)
"
"chl_ssp585_2020_2100_depthsurf";"Bio-Oracle Chlorophyll [depthSurf] SSP585 2020-2100.";"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
chl_max (Maximum Chlorophyll, mg m-3)
chl_ltmax (Long-term maximum Chlorophyll, mg m-3)
chl_mean (Average Chlorophyll, mg m-3)
chl_ltmin (Long-term minimum Chlorophyll, mg m-3)
chl_min (Minimum Chlorophyll, mg m-3)
chl_range (Range Chlorophyll, mg m-3)
chl_sd (Standard deviation Chlorophyll, mg m-3)
"
"kdpar_mean_baseline_2000_2020_depthsurf";"Bio-Oracle DiffuseAttenuationCoefficientPAR [depthSurf] Mean 2000-2020.";"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
kdpar_mean_max (Maximum DiffuseAttenuationCoefficientPAR, m-1)
kdpar_mean_ltmax (Long-term maximum DiffuseAttenuationCoefficientPAR, m-1)
kdpar_mean_mean (Average DiffuseAttenuationCoefficientPAR, m-1)
kdpar_mean_ltmin (Long-term minimum DiffuseAttenuationCoefficientPAR, m-1)
kdpar_mean_min (Minimum DiffuseAttenuationCoefficientPAR, m-1)
kdpar_mean_range (Range DiffuseAttenuationCoefficientPAR, m-1)
"
"dfe_baseline_2000_2018_depthmax";"Bio-Oracle DissolvedIron [depthMax] Baseline 2000-2018.";"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
dfe_max (Maximum DissolvedIron, MMol' 'M-3)
dfe_ltmax (Long-term maximum DissolvedIron, MMol' 'M-3)
dfe_mean (Average DissolvedIron, MMol' 'M-3)
dfe_ltmin (Long-term minimum DissolvedIron, MMol' 'M-3)
dfe_min (Minimum DissolvedIron, MMol' 'M-3)
dfe_range (Range DissolvedIron, MMol' 'M-3)
"
"dfe_ssp119_2020_2100_depthmax";"Bio-Oracle DissolvedIron [depthMax] SSP119 2020-2100.";"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
dfe_max (Maximum DissolvedIron, MMol' 'M-3)
dfe_ltmax (Long-term maximum DissolvedIron, MMol' 'M-3)
dfe_mean (Average DissolvedIron, MMol' 'M-3)
dfe_ltmin (Long-term minimum DissolvedIron, MMol' 'M-3)
dfe_min (Minimum DissolvedIron, MMol' 'M-3)
dfe_range (Range DissolvedIron, MMol' 'M-3)
dfe_sd (Standard deviation DissolvedIron, MMol' 'M-3)
"
"dfe_ssp126_2020_2100_depthmax";"Bio-Oracle DissolvedIron [depthMax] SSP126 2020-2100.";"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
dfe_max (Maximum DissolvedIron, MMol' 'M-3)
dfe_ltmax (Long-term maximum DissolvedIron, MMol' 'M-3)
dfe_mean (Average DissolvedIron, MMol' 'M-3)
dfe_ltmin (Long-term minimum DissolvedIron, MMol' 'M-3)
dfe_min (Minimum DissolvedIron, MMol' 'M-3)
dfe_range (Range DissolvedIron, MMol' 'M-3)
dfe_sd (Standard deviation DissolvedIron, MMol' 'M-3)
"
